field,data_type,required,rule,example
prompt_id,string,yes,"Unique ID in format P0001 to P0500","P0001"
category,string,yes,"Must match category in controlled_vocabulary.json","concept_learning"
subject_area,string,yes,"Academic discipline or field","Computer Science"
difficulty,string,yes,"Must match difficulty in controlled_vocabulary.json","introductory"
course_context,string,yes,"Specific university course or course-level context","CSE220 Object Oriented Programming"
academic_context_type,string,yes,"Must match academic_context_type in controlled_vocabulary.json","exam_preparation"
underlying_task,string,yes,"The actual educational task that both prompt versions must accomplish","Explain the four principles of OOP"
task_context,string,yes,"Explicit university-learning context establishing why this task is included","Student preparing for a university OOP final examination"
baseline_prompt,string,yes,"Intentionally inefficient or unoptimized version of the prompt","Explain Object Oriented Programming in extreme detail including..."
optimized_prompt,string,yes,"Optimized version targeting the same underlying task","Explain the four OOP principles for a university final exam answer"
optimization_strategy,string,yes,"Must match optimization_strategy in controlled_vocabulary.json","remove_irrelevant_context"
expected_content,string,yes,"Important elements expected in a satisfactory answer; separate multiple elements with semicolons","Encapsulation; Inheritance; Polymorphism; Abstraction"
context_file,string,no,"Relative path to external material when the task requires a paper code file or assignment material","contexts\papers\P0401.txt"
created_by,string,yes,"Identifier or name of team member who created the task","Member01"
reviewed_by,string,no,"Identifier or name of team member who reviewed the task","Member02"
status,string,yes,"Must match status in controlled_vocabulary.json","draft"
notes,string,no,"Optional comments or special considerations",""
