field,data_type,required,rule,example
prompt_id,string,yes,"Must correspond to a task in prompts.csv","P0001"
category,string,yes,"Copied from prompts.csv","concept_learning"
subject_area,string,yes,"Copied from prompts.csv","Computer Science"
academic_context_type,string,yes,"Copied from prompts.csv","exam_preparation"
baseline_run_id,string,yes,"Run ID used for the baseline response","R000001"
optimized_run_id,string,yes,"Run ID used for the optimized response","R000002"
baseline_input_tokens,integer,yes,"Input tokens from baseline run","83"
optimized_input_tokens,integer,yes,"Input tokens from optimized run","31"
input_token_reduction,integer,yes,"baseline_input_tokens - optimized_input_tokens","52"
input_token_reduction_pct,number,yes,"Percentage reduction in input tokens","62.65"
baseline_output_tokens,integer,yes,"Output tokens from baseline run","624"
optimized_output_tokens,integer,yes,"Output tokens from optimized run","410"
output_token_reduction,integer,yes,"baseline_output_tokens - optimized_output_tokens","214"
output_token_reduction_pct,number,yes,"Percentage reduction in output tokens","34.29"
baseline_total_tokens,integer,yes,"Total tokens from baseline run","707"
optimized_total_tokens,integer,yes,"Total tokens from optimized run","441"
total_token_reduction,integer,yes,"baseline_total_tokens - optimized_total_tokens","266"
total_token_reduction_pct,number,yes,"Percentage reduction in total tokens","37.62"
baseline_latency_ms,number,yes,"Latency of baseline run in milliseconds","3524.7"
optimized_latency_ms,number,yes,"Latency of optimized run in milliseconds","2410.3"
latency_reduction_ms,number,yes,"baseline_latency_ms - optimized_latency_ms","1114.4"
latency_reduction_pct,number,yes,"Percentage reduction in latency","31.62"
baseline_accuracy,number,no,"Mean human accuracy score for baseline response","4.5"
optimized_accuracy,number,no,"Mean human accuracy score for optimized response","4.5"
accuracy_change,number,no,"optimized_accuracy - baseline_accuracy","0"
baseline_completeness,number,no,"Mean human completeness score for baseline response","4.5"
optimized_completeness,number,no,"Mean human completeness score for optimized response","4.0"
completeness_change,number,no,"optimized_completeness - baseline_completeness","-0.5"
baseline_educational_usefulness,number,no,"Mean usefulness score for baseline response","4.5"
optimized_educational_usefulness,number,no,"Mean usefulness score for optimized response","4.5"
educational_usefulness_change,number,no,"optimized usefulness - baseline usefulness","0"
baseline_mean_quality,number,no,"Mean of baseline quality dimensions","4.5"
optimized_mean_quality,number,no,"Mean of optimized quality dimensions","4.33"
mean_quality_change,number,no,"optimized_mean_quality - baseline_mean_quality","-0.17"
quality_preserved,boolean,no,"Calculated later using the predefined quality-preservation rule","true"
included_in_analysis,boolean,yes,"Whether this prompt pair is included in final statistical analysis","true"
exclusion_reason,string,no,"Reason pair was excluded if applicable",""
