field,data_type,required,rule,example
run_id,string,yes,"Unique execution ID","R000001"
prompt_id,string,yes,"Must correspond to a task in prompts.csv","P0001"
variant,string,yes,"Either baseline or optimized","baseline"
model,string,yes,"Exact model identifier used for the execution","qwen2.5:7b"
temperature,number,yes,"Generation temperature used","0"
max_output_tokens,integer,no,"Maximum output token limit if configured","1000"
timestamp,string,yes,"Execution timestamp in ISO 8601 format","2026-08-10T21:00:00+06:00"
input_tokens,integer,yes,"Number of tokens supplied to the model","83"
output_tokens,integer,yes,"Number of tokens generated by the model","624"
total_tokens,integer,yes,"input_tokens + output_tokens","707"
latency_ms,number,yes,"Total response time measured in milliseconds","3524.7"
response,string,yes,"Complete unmodified model response","Encapsulation is..."
finish_reason,string,no,"Reason generation stopped if provided by the model","stop"
error,string,no,"Error message if execution failed",""
attempt,integer,yes,"Execution attempt number for this prompt variant","1"
