prompt_id,source_pair_id,category,task,model,temperature,seed,baseline_input_tokens,optimized_input_tokens,input_token_reduction,input_token_reduction_pct,baseline_output_tokens,optimized_output_tokens,output_token_reduction,output_token_reduction_pct,baseline_total_tokens,optimized_total_tokens,total_token_reduction,total_token_reduction_pct,baseline_wall_time_s,optimized_wall_time_s,wall_time_reduction_s,wall_time_reduction_pct,baseline_ollama_total_duration_s,optimized_ollama_total_duration_s,ollama_duration_reduction_pct,optimized_used_fewer_input_tokens,optimized_used_fewer_output_tokens,optimized_used_fewer_total_tokens,optimized_was_faster
P0001,1.1,assignment_writing,Compare renewable and non-renewable energy sources for an environmental science assignment.,gemma3:4b,0,42,94,64,30,31.91,314,340,-26,-8.28,408,404,4,0.98,19.209698,19.691523,-0.481825,-2.51,17.157059,17.64481,-2.84,True,False,True,False
P0002,1.2,assignment_writing,Create a structured essay outline on machine learning paradigms for a data science assignment.,gemma3:4b,0,42,86,77,9,10.47,1291,1308,-17,-1.32,1377,1385,-8,-0.58,69.706199,70.572527,-0.866328,-1.24,67.676917,68.531094,-1.26,True,False,False,False
P0003,1.26,assignment_writing,Write the discussion of a net present value appraisal for a finance assignment.,gemma3:4b,0,42,88,72,16,18.18,487,381,106,21.77,575,453,122,21.22,28.124951,23.573886,4.551065,16.18,26.059681,21.536296,17.36,True,True,True,True
P0004,1.4,assignment_writing,Write a case study analysis summary on corporate inflation response for a macroeconomics assignment.,gemma3:4b,0,42,73,58,15,20.55,237,331,-94,-39.66,310,389,-79,-25.48,14.456719,19.05426,-4.597541,-31.8,12.419465,17.015788,-37.01,True,False,False,False
P0005,1.5,assignment_writing,Draft an argumentative essay paragraph supporting qualitative research for a research methods assignment.,gemma3:4b,0,42,74,62,12,16.22,179,213,-34,-18.99,253,275,-22,-8.7,11.514283,13.139392,-1.625109,-14.11,9.499995,11.114067,-16.99,True,False,False,False
P0006,1.6,assignment_writing,Write the discussion section of a physics lab report on pendulum period measurement.,gemma3:4b,0,42,96,72,24,25.0,549,384,165,30.05,645,456,189,29.3,30.505452,21.876558,8.628894,28.29,28.475193,19.843359,30.31,True,True,True,True
P0007,1.7,assignment_writing,Draft a reflective journal entry on a teaching placement for an education assignment.,gemma3:4b,0,42,98,76,22,22.45,667,523,144,21.59,765,599,166,21.7,36.595118,29.044301,7.550817,20.63,34.561685,27.005246,21.86,True,True,True,True
P0008,1.8,assignment_writing,Produce an annotated reference list on social media and adolescent mental health.,gemma3:4b,0,42,91,74,17,18.68,1093,1314,-221,-20.22,1184,1388,-204,-17.23,59.047111,70.770819,-11.723708,-19.85,57.017821,68.705107,-20.5,True,False,False,False
P0009,1.9,assignment_writing,Build a SWOT analysis table for a retail chain for a business management assignment.,gemma3:4b,0,42,89,59,30,33.71,732,549,183,25.0,821,608,213,25.94,39.913021,30.138821,9.7742,24.49,37.855525,28.101823,25.77,True,True,True,True
P0010,1.10,assignment_writing,Write the introduction with aims and objectives for a civil engineering report.,gemma3:4b,0,42,85,56,29,34.12,406,393,13,3.2,491,449,42,8.55,23.109967,22.157048,0.952919,4.12,21.046111,20.109829,4.45,True,True,True,True
P0011,1.11,assignment_writing,Write an executive summary for a business report on employee retention.,gemma3:4b,0,42,92,62,30,32.61,440,324,116,26.36,532,386,146,27.44,24.875935,18.726226,6.149709,24.72,22.831368,16.695407,26.88,True,True,True,True
P0012,1.12,assignment_writing,Write the ethical considerations section of a psychology research proposal.,gemma3:4b,0,42,87,65,22,25.29,514,349,165,32.1,601,414,187,31.11,28.638017,20.044987,8.59303,30.01,26.58901,18.00069,32.3,True,True,True,True
P0013,1.13,assignment_writing,Write a data interpretation paragraph describing a bar chart for a statistics assignment.,gemma3:4b,0,42,177,165,12,6.78,219,213,6,2.74,396,378,18,4.55,14.648523,14.124988,0.523535,3.57,12.633124,12.105269,4.18,True,True,True,True
P0014,1.14,assignment_writing,Write a conference poster abstract for a biotechnology project.,gemma3:4b,0,42,261,237,24,9.2,493,279,214,43.41,754,516,238,31.56,29.307086,18.075758,11.231328,38.32,27.254133,16.042145,41.14,True,True,True,True
P0015,1.15,assignment_writing,Produce formal meeting minutes for a group software project assignment.,gemma3:4b,0,42,267,242,25,9.36,531,618,-87,-16.38,798,860,-62,-7.77,31.67433,35.59829,-3.92396,-12.39,29.641052,33.575756,-13.27,True,False,False,False
P0016,1.16,assignment_writing,Draft a persuasive stakeholder email for a professional communication assignment.,gemma3:4b,0,42,96,78,18,18.75,425,266,159,37.41,521,344,177,33.97,24.070376,15.98303,8.087346,33.6,22.026971,13.937917,36.72,True,True,True,True
