prompt_id,context_type,baseline_context_file,optimized_context_file,source_status,notes,baseline_context_words,optimized_context_words
P0013,controlled_nonpaper_input,contexts/P0013_shared_input.txt,contexts/P0013_shared_input.txt,researcher-created controlled input,Same task-relevant input supplied to both prompt variants.,48,48
P0014,controlled_nonpaper_input,contexts/P0014_shared_input.txt,contexts/P0014_shared_input.txt,researcher-created controlled input,Same task-relevant input supplied to both prompt variants.,107,107
P0015,controlled_nonpaper_input,contexts/P0015_shared_input.txt,contexts/P0015_shared_input.txt,researcher-created controlled input,Same task-relevant input supplied to both prompt variants.,105,105
P0050,controlled_nonpaper_input,contexts/P0050_shared_input.txt,contexts/P0050_shared_input.txt,researcher-created controlled input,Same task-relevant input supplied to both prompt variants.,59,59
P0053,controlled_nonpaper_input,contexts/P0053_shared_input.txt,contexts/P0053_shared_input.txt,researcher-created controlled input,Same task-relevant input supplied to both prompt variants.,121,121
P0081,synthetic_research_paper,contexts/P0081_baseline_full_paper.txt,contexts/P0081_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives abstract only.,654,100
P0082,synthetic_research_paper,contexts/P0082_baseline_full_paper.txt,contexts/P0082_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives methodology section only.,585,97
P0083,synthetic_research_paper,contexts/P0083_baseline_full_paper.txt,contexts/P0083_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),"Baseline receives full synthetic paper text; optimized receives metadata + abstract, methods, results and conclusion.",551,218
P0084,synthetic_research_paper,contexts/P0084_baseline_full_paper.txt,contexts/P0084_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives introduction and related work only.,562,118
P0085,synthetic_research_paper,contexts/P0085_baseline_full_paper.txt,contexts/P0085_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives discussion and conclusion only.,544,90
P0086,synthetic_research_paper,contexts/P0086_baseline_full_paper.txt,contexts/P0086_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives abstract and results of both papers.,731,197
P0087,synthetic_research_paper,contexts/P0087_baseline_full_paper.txt,contexts/P0087_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives methods and results only.,516,124
P0088,synthetic_research_paper,contexts/P0088_baseline_full_paper.txt,contexts/P0088_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives experimental setup and results only.,494,123
P0089,synthetic_research_paper,contexts/P0089_baseline_full_paper.txt,contexts/P0089_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives conclusion only.,467,37
P0090,synthetic_research_paper,contexts/P0090_baseline_full_paper.txt,contexts/P0090_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives metadata + abstract and conclusion.,518,102
P0091,synthetic_research_paper,contexts/P0091_baseline_full_paper.txt,contexts/P0091_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),"Baseline receives full synthetic paper text; optimized receives Table 3, caption/context and discussion paragraph.",527,137
P0092,synthetic_research_paper,contexts/P0092_baseline_full_paper.txt,contexts/P0092_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives introduction only.,574,149
P0093,synthetic_research_paper,contexts/P0093_baseline_full_paper.txt,contexts/P0093_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives related work only.,564,120
P0094,synthetic_research_paper,contexts/P0094_baseline_full_paper.txt,contexts/P0094_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives specific passage only.,478,83
P0095,synthetic_research_paper,contexts/P0095_baseline_full_paper.txt,contexts/P0095_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives introduction and methodology only.,473,99
P0096,synthetic_research_paper,contexts/P0096_baseline_full_paper.txt,contexts/P0096_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives abstract and conclusion of all three papers.,730,188
P0097,synthetic_research_paper,contexts/P0097_baseline_full_paper.txt,contexts/P0097_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives analysis and results only.,519,164
P0098,synthetic_research_paper,contexts/P0098_baseline_full_paper.txt,contexts/P0098_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives results and conclusion only.,445,72
P0099,synthetic_research_paper,contexts/P0099_baseline_full_paper.txt,contexts/P0099_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives abstract and conclusion only.,418,71
P0100,synthetic_research_paper,contexts/P0100_baseline_full_paper.txt,contexts/P0100_optimized_relevant_sections.txt,researcher-created synthetic paper context (not a real publication),Baseline receives full synthetic paper text; optimized receives conclusion and future work only.,476,64
