prompt_id,source_pair_id,category,task,baseline_prompt,optimized_prompt,modified,cleaning_notes,context_required,context_requirement,experiment_ready,baseline_context_file,optimized_context_file,context_source,context_status
P0001,1.1,assignment_writing,Compare renewable and non-renewable energy sources for an environmental science assignment.,"I am doing an assignment for my university Environmental Science course and I need help with a question about energy sources. Please write an explanation of around 200 words comparing renewable and non-renewable energy sources. Explain what each one is, give two examples of each, and discuss their main environmental impact. Please make the explanation clear and understandable for a student and make sure that all of the important points are properly explained.","For an introductory Environmental Science assignment, compare renewable and non-renewable energy sources in about 200 words. Address the following:
Define renewable and non-renewable energy.
Provide two examples of each type.
Outline the primary environmental impact of each source.",False,,False,,True,,,none,not_required
P0002,1.2,assignment_writing,Create a structured essay outline on machine learning paradigms for a data science assignment.,"I am working on an assignment for my university Data Science class where I have to draft an essay outline about supervised, unsupervised, and reinforcement learning. Can you please write a clear essay outline for me? Make sure to include an introduction section, main body section for each of the three paradigms, and a conclusion section with all relevant details so I can use it to write my paper.","For a university Data Science assignment, create a structured essay outline on Machine Learning Paradigms (Supervised, Unsupervised, Reinforcement Learning). Ensure the output includes:
1. An introduction section.
2. Three main body sections, one for each paradigm, with relevant sub-topics.
3. A conclusion section.",True,Removed the added thesis-statement requirement so both prompts request the same outline components.,False,,True,,,none,not_required
P0003,1.3,assignment_writing,Generate a comparative markdown table for microservices vs. monolithic architecture for a software engineering assignment.,"I need to complete a comparison table for my university Software Engineering assignment comparing monolithic and microservices architectures. Can you create a table for me that compares them based on key factors like scalability, deployment complexity, fault isolation, and development speed? Make sure it is formatted clearly with explanations for each point so I can copy it into my assignment report.","For a university Software Engineering assignment, generate a Markdown comparison table between Monolithic and Microservices architectures. Include:
1. Scalability.
2. Deployment complexity.
3. Fault isolation.
4. Development speed.
Provide clear comparative explanations for each criterion.",True,Removed the optimized-only 15-word-per-cell limit.,False,,True,,,none,not_required
P0004,1.4,assignment_writing,Write a case study analysis summary on corporate inflation response for a macroeconomics assignment.,"I am writing a case study analysis for my university Macroeconomics course about how tech companies respond to rising inflation rates. Could you please write a 200-word analysis paragraph summarizing the key challenge, explaining how inflation impacts operational costs, and proposing two strategic business solutions? Make sure it reads academically for submission.","For a Macroeconomics case study assignment, write a 200-word corporate analysis paragraph addressing:
Statement of the primary inflation challenge facing tech firms.
Explanation of operational cost impacts.
Proposal of two strategic economic mitigation steps.",False,,False,,True,,,none,not_required
P0005,1.5,assignment_writing,Draft an argumentative essay paragraph supporting qualitative research for a research methods assignment.,"I am working on an assignment for my university Research Methods course where I need to argue why qualitative research methods are essential for studying human behavior. Please write a compelling academic paragraph of about 150 words that presents a strong claim, supports it with logical reasoning, and addresses a common counter-argument about quantitative objectivity.","For a university Research Methods assignment, write a 150-word argumentative paragraph favoring qualitative research for human behavior studies. Include:
A clear central topic claim.
Supporting logical reasoning and justification.
A concise counter-argument rebuttal regarding quantitative objectivity.",False,,False,,True,,,none,not_required
P0006,1.6,assignment_writing,Write the discussion section of a physics lab report on pendulum period measurement.,"I have just finished a practical for my university Physics course where we measured the period of a simple pendulum at different lengths, and now I have to write the discussion section of my lab report. Could you please write a discussion of about 250 words that interprets the relationship we found, mentions the main sources of experimental error, and suggests how the experiment could be improved? Please keep the tone formal so I can submit it.","For a university Physics lab report, write a 250-word discussion section on a simple pendulum period-versus-length experiment. Ensure the output includes:
1. Interpretation of the period-length relationship.
2. Main sources of experimental error.
3. Specific improvements to the method.",True,Removed optimized-only fixed counts for errors and improvements.,False,,True,,,none,not_required
P0007,1.7,assignment_writing,Draft a reflective journal entry on a teaching placement for an education assignment.,"I am doing a teaching placement as part of my university Education degree and I have to submit a reflective journal entry about a lesson that did not go as planned. Can you please write a reflective entry of around 300 words using the Gibbs reflective cycle? I would like it to describe what happened, how I felt, what went well and badly, and what I would do differently next time. Please make it sound genuine and academic.","For a university Education placement assignment, write a 300-word reflective journal entry on a lesson that did not go as planned, structured using the Gibbs reflective cycle. Ensure the output covers:
Description and feelings stages.
Evaluation and analysis of what went well and badly.
Conclusion and action plan for future practice.",False,,False,,True,,,none,not_required
P0008,1.8,assignment_writing,Produce an annotated reference list on social media and adolescent mental health.,"For my university Psychology assignment I need to hand in an annotated bibliography about the effects of social media on adolescent mental health. Could you please create 4 annotated entries in APA style? For each one I need the reference and then a short annotation explaining what the study did, what it found, and why it is relevant to my topic. Please use placeholder references since I will replace them with my real sources.","For a university Psychology assignment, produce 4 APA-style annotated bibliography entries on social media and adolescent mental health, using placeholder references. Each entry must contain:
1. A formatted APA reference.
2. A short summary of the study method and findings.
3. A statement of relevance to the topic.",True,Removed optimized-only sentence-count constraints.,False,,True,,,none,not_required
P0009,1.9,assignment_writing,Build a SWOT analysis table for a retail chain for a business management assignment.,"I am preparing an assignment for my university Business Management module and I have to analyse a supermarket chain that is expanding into online grocery delivery. Can you please build me a SWOT analysis table with four clearly separated sections? I would like three points under each of strengths, weaknesses, opportunities and threats, and each point should be a short sentence rather than just one word so it is useful in my report.","For a university Business Management assignment, build a SWOT analysis table for a supermarket chain expanding into online grocery delivery. Ensure the output includes:
Four labelled quadrants.
Exactly three points per quadrant.
Each point written as one short full sentence.",False,,False,,True,,,none,not_required
P0010,1.10,assignment_writing,Write the introduction with aims and objectives for a civil engineering report.,"I have a report to write for my university Civil Engineering course on the use of recycled aggregate in concrete, and I am stuck on the introduction. Could you please write an introduction of about 250 words that gives the background to the problem, states the aim of the report, and lists three specific objectives? Please write it formally so that it suits an engineering report.","For a university Civil Engineering report on recycled aggregate in concrete, write a 250-word introduction. Ensure the output includes:
Background context on the problem.
One clearly stated aim.
Three numbered specific objectives.",False,,False,,True,,,none,not_required
P0011,1.11,assignment_writing,Write an executive summary for a business report on employee retention.,"I have written a long business report for my university Human Resource Management module about employee retention in the hospitality sector and now I need an executive summary to go at the front of it. Can you please write one of around 200 words? It should briefly state the purpose of the report, the main findings, and the key recommendations, and it should make sense on its own without reading the full report.","For a university Human Resource Management report on employee retention in hospitality, write a 200-word standalone executive summary. Ensure the output includes:
1. Purpose and scope of the report.
2. Main findings.
3. Key recommendations.",True,Removed optimized-only fixed counts for findings and recommendations.,False,,True,,,none,not_required
P0012,1.12,assignment_writing,Write the ethical considerations section of a psychology research proposal.,"I am submitting a research proposal for my university Psychology course. My study involves interviewing university students about exam stress, and I need to write the ethical considerations section. Could you please write approximately 250 words covering informed consent, confidentiality and anonymity, the right to withdraw, and how I would handle a participant becoming distressed? Please write it in the style expected by an ethics committee.","For a university Psychology research proposal involving student interviews on exam stress, write a 250-word ethical considerations section. Ensure the output addresses:
Informed consent procedure.
Confidentiality and anonymity measures.
Right to withdraw.
Protocol for participant distress.",False,,False,,True,,,none,not_required
P0013,1.13,assignment_writing,Write a data interpretation paragraph describing a bar chart for a statistics assignment.,"For my university Statistics assignment I have produced a bar chart showing average monthly electricity consumption across four student residence halls over one semester, and I now need to describe it in words. Can you please write an interpretation paragraph of about 180 words that describes the overall pattern, points out the highest and lowest values, and suggests one plausible explanation for the difference? Please avoid simply listing every number.","For a university Statistics assignment, write a 180-word interpretation paragraph for a bar chart of average monthly electricity consumption across four student residence halls. Ensure the output includes:
Description of the overall pattern.
Identification of highest and lowest values.
One plausible explanation for the variation.
No exhaustive listing of individual values.",False,,True,Provide the bar-chart values for the four residence halls (same chart data to both variants).,True,contexts/P0013_shared_input.txt,contexts/P0013_shared_input.txt,researcher-created controlled input,ready
P0014,1.14,assignment_writing,Write a conference poster abstract for a biotechnology project.,"I need to submit an abstract for a student research poster for my university Biotechnology department. My project was about using enzyme treatment to improve the yield of bioethanol from agricultural waste. Could you please write an abstract of around 200 words that includes the background, the method I used, the main result, and the conclusion? Please make sure it fits the usual structure that poster abstracts follow.","For a university Biotechnology student poster, write a 200-word structured abstract on enzyme pre-treatment to improve bioethanol yield from agricultural waste. Ensure the output includes:
Background and rationale.
Method summary.
Principal result.
One-sentence conclusion.",False,,True,Provide minimal project facts needed for an abstract: method details and principal result.,True,contexts/P0014_shared_input.txt,contexts/P0014_shared_input.txt,researcher-created controlled input,ready
P0015,1.15,assignment_writing,Produce formal meeting minutes for a group software project assignment.,"My group has to submit meeting minutes as part of the documentation for our university Software Engineering group project. We met to decide the database schema and to assign the next sprint tasks. Could you please write formal minutes for that meeting? Please include the attendees, the agenda items discussed, the decisions we reached, and an action list saying who is responsible for what, so it looks professional in our report.","For a university Software Engineering group project report, produce formal minutes for a meeting on database schema selection and sprint task allocation. Ensure the output includes:
Attendee list and date placeholder.
Agenda items discussed.
Decisions reached.
Action table with owner and deadline.",False,,True,"Provide meeting facts such as attendees, decisions and assigned actions, or explicitly allow placeholders.",True,contexts/P0015_shared_input.txt,contexts/P0015_shared_input.txt,researcher-created controlled input,ready
P0016,1.16,assignment_writing,Draft a persuasive stakeholder email for a professional communication assignment.,"I have a Professional Communication assignment at university where I have to write a persuasive email to a company stakeholder. The scenario is that I am proposing that the company switch to a four-day working week trial. Can you please write an email of about 200 words that opens professionally, gives two clear business benefits, acknowledges one likely concern, and ends with a specific call to action? Please keep the tone polite and confident.","For a university Professional Communication assignment, draft a 200-word persuasive stakeholder email proposing a four-day working week trial. Ensure the output includes:
1. Professional opening and clear purpose.
2. Two clear business benefits.
3. Acknowledgement of one likely concern.
4. A specific call to action.",True,Changed 'quantifiable' to 'clear' to match the baseline request.,False,,True,,,none,not_required
P0017,1.17,assignment_writing,Create a project risk assessment table for a project management assignment.,"I am doing an assignment for my university Project Management module about a campus mobile app development project, and I need to include a risk assessment. Could you please create a risk register table with five risks? For each risk I need a description, the likelihood, the impact, an overall rating, and a mitigation action. Please make the risks realistic for a student software project.","For a university Project Management assignment on a campus mobile app project, create a risk register table containing 5 realistic risks. Each row must include:
Risk description.
Likelihood and impact ratings (High/Medium/Low).
Overall risk rating.
A specific mitigation action.",False,,False,,True,,,none,not_required
P0018,1.18,assignment_writing,Write the methodology section for a sociology survey study.,"For my university Sociology assignment I have to write the methodology section of a study investigating commuting habits of students living off campus. Can you please write about 300 words explaining the research design, the sampling strategy, how the data would be collected, and how it would be analysed? Please justify each choice briefly rather than just stating it, because the marking rubric rewards justification.","For a university Sociology assignment on off-campus student commuting habits, write a 300-word methodology section. Ensure the output includes:
1. Research design with justification.
2. Sampling strategy.
3. Data collection approach.
4. Planned analysis approach.",True,Removed optimized-only target sample size requirement.,False,,True,,,none,not_required
P0019,1.19,assignment_writing,Write conclusions and recommendations for a marketing assignment.,"I have almost finished a marketing assignment for university analysing why a clothing brand's social media campaign underperformed, and I now need the final section. Could you please write about 250 words that draws conclusions from the analysis and then gives three practical recommendations? Please make sure the recommendations are specific and actionable rather than vague, as my lecturer always comments on that.","For a university Marketing assignment on an underperforming social media campaign, write a 250-word conclusions and recommendations section. Ensure the output includes:
Three conclusions drawn from the analysis.
Three specific actionable recommendations.
No vague or generic advice.",False,,False,,True,,,none,not_required
P0020,1.20,assignment_writing,Produce assignment front matter including declaration and acknowledgement.,"I need to put together the front matter for my final year university project report and I am not sure what the standard wording is. Could you please write me a title page layout, a plagiarism declaration statement, and a short acknowledgement section? Please use placeholders for my name, my supervisor's name and the university so that I can fill them in myself later.","For a final year university project report, produce standard front matter using placeholders for name, supervisor and institution. Ensure the output includes:
Title page layout with required fields.
A plagiarism declaration statement.
A short acknowledgement section.",False,,False,,True,,,none,not_required
P0021,2.1,exam_preparation,Generate practice multiple-choice questions on database normalization for a DBMS exam.,"I have an upcoming exam for my university Database Management Systems course and I need some practice questions to prepare. Can you please generate 5 practice multiple-choice questions for me focusing on SQL normalization (1NF, 2NF, and 3NF)? Please include 4 options for each question, clearly mark the correct answer, and provide a short explanation for each answer so I can study well for my test.","For university DBMS exam prep, generate 5 practice MCQs on database normalization (1NF, 2NF, 3NF). Ensure the output includes:
4 distinct options per question.
The clearly indicated correct answer.
A brief explanation for each answer.",False,,False,,True,,,none,not_required
P0022,2.2,exam_preparation,Create short-answer theory questions on CPU scheduling for an Operating Systems exam.,I am studying for my university Operating Systems mid-term exam and I want to practice answering conceptual short questions. Could you please generate 3 short-answer exam questions about CPU scheduling algorithms like Round Robin and SJF? Please provide a concise standard answer for each question so I can grade myself after attempting them.,"For an Operating Systems exam review, generate 3 short-answer theoretical questions on CPU scheduling, focusing on SJF and Round Robin. Provide:
1. Clear conceptual questions.
2. Concise model answers for self-grading.",True,Removed FCFS and the optimized-only three-sentence answer limit.,False,,True,,,none,not_required
